Incident_ID,Incident_Date,Incident_Time,Location,Incident_Type,Victim_Age,Victim_Gender,Perpetrator_Relationship,Reporting_Channel,Severity_Level,Support_Provided,Follow_Up_Status,Notes
1001,2026-01-19,18:47:00.0000000,Abuja,Harassment,36,Female,Stranger,Dashboard,Medium,Legal Aid,Ongoing,Situation under control
1002,2025-05-03,09:58:00.0000000,Port Harcourt,Child Abuse,6,Male,Relative,Mobile App,High,Shelter,Ongoing,Case under child protection services
1003,2026-04-15,12:55:00.0000000,Kano,Sexual Assault,26,Female,Relative,Hotline,High,Shelter,Ongoing,Suspect identified and questioned
1004,2025-06-27,19:43:00.0000000,Port Harcourt,Sexual Assault,39,Female,Relative,Community Center,Critical,Medical Care,Ongoing,Suspect identified and questioned
1005,2025-07-06,22:43:00.0000000,Enugu,Domestic Violence,31,Female,Relative,Community Center,High,Shelter,Ongoing,Victim considering separation
1006,2025-04-30,10:17:00.0000000,Abuja,Domestic Violence,30,Female,Partner,Dashboard,High,Counseling,Closed,Victim contacted by support team
1007,2025-11-29,16:58:00.0000000,Port Harcourt,Domestic Violence,35,Female,Neighbor,Mobile App,Medium,Legal Aid,Ongoing,Case transferred to social services
1008,2025-05-26,23:06:00.0000000,Uyo,Child Abuse,15,Male,Neighbor,Dashboard,Critical,Counseling,Ongoing,Child placed in protective custody
1009,2025-10-20,07:02:00.0000000,Enugu,Domestic Violence,39,Female,Partner,Hotline,Medium,Counseling,Ongoing,Case assigned to field officer
1010,2026-01-15,19:39:00.0000000,Kafanchan,Domestic Violence,26,Female,Partner,Mobile App,High,Shelter,Ongoing,Victim receiving ongoing therapy
1011,2025-06-17,20:31:00.0000000,Enugu,Harassment,37,Female,Employer,Community Center,High,Legal Aid,Closed,Situation under control
1012,2025-11-25,12:38:00.0000000,Kafanchan,Harassment,23,Female,Colleague,Dashboard,Medium,Legal Aid,Closed,Follow-up visit scheduled
1013,2025-05-28,16:54:00.0000000,Kano,Domestic Violence,44,Female,Spouse,Community Center,High,Counseling,Ongoing,Case assigned to field officer
1014,2025-10-21,13:06:00.0000000,Ibadan,Harassment,24,Female,Teacher,Community Center,Medium,Legal Aid,Closed,Case under review
1015,2026-01-02,10:50:00.0000000,Kafanchan,Domestic Violence,30,Male,Neighbor,Community Center,High,Shelter,Ongoing,Victim receiving ongoing therapy
1016,2025-07-13,21:45:00.0000000,Lagos,Domestic Violence,41,Female,Partner,Dashboard,Critical,Legal Aid,Ongoing,Victim moved to secure location
1017,2025-07-16,16:53:00.0000000,Enugu,Sexual Assault,27,Male,Neighbor,Hotline,High,Medical Care,Ongoing,Legal action in progress
1018,2026-03-04,09:29:00.0000000,Ibadan,Child Abuse,6,Female,Teacher,Mobile App,High,Counseling,Ongoing,Case forwarded to social services
1019,2025-06-07,11:23:00.0000000,Abuja,Harassment,28,Female,Colleague,Hotline,High,Counseling,Closed,Response team engaged
1020,2025-07-30,05:53:00.0000000,Enugu,Child Abuse,5,Male,Relative,Hotline,Critical,Counseling,Ongoing,Case under child protection services
1021,2026-01-03,16:56:00.0000000,Enugu,Domestic Violence,27,Female,Neighbor,Community Center,Medium,Legal Aid,Closed,Support plan developed
1022,2025-10-27,05:23:00.0000000,Ibadan,Sexual Assault,24,Female,Stranger,Dashboard,Critical,Shelter,Closed,Investigation ongoing
1023,2025-08-13,03:05:00.0000000,Lagos,Domestic Violence,24,Female,Relative,Hotline,Medium,Legal Aid,Ongoing,Victim contacted by support team
